eng,part,level
ABANDON:VERB,VERB,4
ABANDONED:ADJECTIVE,ADJECTIVE,4
ABILITY:NOUN,NOUN,3
ABLE:ADJECTIVE,ADJECTIVE,4
ABNORMAL:ADJECTIVE,ADJECTIVE,5
ABOARD:ADVERB,ADVERB,5
ABOLISH:VERB,VERB,4
ABORTION:NOUN,NOUN,5
ABOUT:ADVERB,ADVERB,2
ABOUT:ADJECTIVE,ADJECTIVE,3
ABOVE:ADVERB,ADVERB,3
ABOVE:ADVERB,ADVERB,3
ABROAD:ADVERB,ADVERB,3
ABRUPT:ADJECTIVE,ADJECTIVE,6
ABRUPTLY:ADVERB,ADVERB,6
ABSENCE:NOUN,NOUN,4
ABSENT:ADJECTIVE,ADJECTIVE,3
ABSOLUTE:NOUN,NOUN,4
ABSOLUTELY:ADVERB,ADVERB,4
ABSORB:VERB,VERB,4
ABSTRACT:ADJECTIVE,ADJECTIVE,4
ABSURD:ADJECTIVE,ADJECTIVE,4
ABUSE:NOUN,NOUN,4
ABUSIVE:ADJECTIVE,ADJECTIVE,6
ACADEMIC:ADJECTIVE,ADJECTIVE,5
ACCELERATE:VERB,VERB,5
ACCENT:NOUN,NOUN,3
ACCEPT:VERB,VERB,3
ACCEPTABLE:ADJECTIVE,ADJECTIVE,4
ACCEPTANCE:NOUN,NOUN,5
ACCEPTED:ADJECTIVE,ADJECTIVE,5
ACCESS:NOUN,NOUN,3
ACCESS:VERB,VERB,4
ACCESSIBLE:ADJECTIVE,ADJECTIVE,5
ACCESSORY:NOUN,NOUN,5
ACCIDENT:NOUN,NOUN,2
ACCIDENTAL:ADJECTIVE,ADJECTIVE,4
ACCIDENTALLY:ADVERB,ADVERB,4
ACCLAIMED:ADJECTIVE,ADJECTIVE,5
ACCOMMODATION:NOUN,NOUN,3
ACCOMPANY:VERB,VERB,4
ACCOMPLISH:VERB,VERB,5
ACCORD:NOUN,NOUN,6
ACCORDANCE:NOUN,NOUN,5
ACCOUNT:NOUN,NOUN,4
ACCOUNT:VERB,VERB,6
ACCOUNTABLE:NOUN,NOUN,6
ACCOUNTANT:NOUN,NOUN,3
ACCUMULATE:VERB,VERB,5
ACCUMULATION:NOUN,NOUN,6
ACCURACY:NOUN,NOUN,4
ACCURATE:ADJECTIVE,ADJECTIVE,3
ACCURATELY:ADVERB,ADVERB,3
ACCUSATION:NOUN,NOUN,5
ACCUSE:VERB,VERB,4
ACCUSTOMED:ADJECTIVE,ADJECTIVE,5
ACHE:NOUN,NOUN,3
ACHE:VERB,VERB,4
ACHIEVE:VERB,VERB,3
ACHIEVEMENT:NOUN,NOUN,3
ACID:NOUN,NOUN,4
ACKNOWLEDGE:VERB,VERB,5
ACQUAINTANCE:NOUN,NOUN,5
ACQUIRE:VERB,VERB,4
ACRE:NOUN,NOUN,6
ACROSS:ADVERB,ADVERB,4
ACT:VERB,VERB,3
ACT:NOUN,NOUN,4
ACTION:NOUN,NOUN,4
ACTIVE:ADJECTIVE,ADJECTIVE,3
ACTIVELY:ADVERB,ADVERB,4
ACTIVITY:NOUN,NOUN,3
ACTOR:NOUN,NOUN,2
ACTUAL:NOUN,NOUN,4
ACTUALLY:ADVERB,ADVERB,3
AD:NOUN,NOUN,3
ADAPT:VERB,VERB,4
ADAPTATION:NOUN,NOUN,5
ADD:VERB,VERB,3
ADDICT:NOUN,NOUN,4
ADDICTED:ADJECTIVE,ADJECTIVE,4
ADDICTION:NOUN,NOUN,4
ADDICTIVE:ADJECTIVE,ADJECTIVE,5
ADDITION:NOUN,NOUN,3
ADDITIONAL:ADJECTIVE,ADJECTIVE,4
ADDITIONALLY:ADVERB,ADVERB,4
ADDRESS:NOUN,NOUN,1
ADDRESS:VERB,VERB,5
ADEQUATE:ADJECTIVE,ADJECTIVE,4
ADEQUATELY:ADVERB,ADVERB,4
ADJACENT:ADJECTIVE,ADJECTIVE,6
ADJECTIVE:NOUN,NOUN,2
ADJUST:VERB,VERB,4
ADJUSTMENT:NOUN,NOUN,4
ADMINISTRATION:NOUN,NOUN,5
ADMINISTRATIVE:ADJECTIVE,ADJECTIVE,5
ADMINISTRATOR:NOUN,NOUN,5
ADMIRATION:NOUN,NOUN,4
ADMIRE:VERB,VERB,3
ADMISSION:NOUN,NOUN,3
ADMIT:VERB,VERB,3
ADMITTEDLY:ADVERB,ADVERB,4
ADOLESCENT:NOUN,NOUN,6
ADOPT:VERB,VERB,4
ADOPTED:ADJECTIVE,ADJECTIVE,4
ADOPTION:NOUN,NOUN,4
ADULT:NOUN,NOUN,1
ADULT:NOUN,NOUN,3
ADVANCE:NOUN,NOUN,3
ADVANCED:ADJECTIVE,ADJECTIVE,2
ADVANTAGE:NOUN,NOUN,3
ADVENTURE:NOUN,NOUN,2
ADVENTUROUS:ADJECTIVE,ADJECTIVE,4
ADVERB:NOUN,NOUN,2
ADVERSE:ADJECTIVE,ADJECTIVE,6
ADVERT:NOUN,NOUN,3
ADVERTISE:VERB,VERB,3
ADVERTISEMENT:NOUN,NOUN,2
ADVERTISING:NOUN,NOUN,4
ADVICE:NOUN,NOUN,2
ADVISE:VERB,VERB,3
ADVISER:NOUN,NOUN,5
ADVOCATE:VERB,VERB,6
ADVOCATE:NOUN,NOUN,6
AEROPLANE:NOUN,NOUN,2
AFFAIR:NOUN,NOUN,4
AFFECT:VERB,VERB,4
AFFECTION:NOUN,NOUN,4
AFFECTIONATE:ADJECTIVE,ADJECTIVE,6
AFFLUENT:ADJECTIVE,ADJECTIVE,5
AFFORD:VERB,VERB,4
